Date&Time;app1_conc [mg/l];app1_h [m];app1_t_water [C];Anomalietyp
19.10.2023 17:01;4,3;1,122;17,7;
19.10.2023 17:02;4,7;1,117;17,7;
19.10.2023 17:02;4,8;1,119;17,7;
19.10.2023 17:03;4,4;1,116;17,7;
19.10.2023 17:03;4,2;1,114;17,7;
19.10.2023 17:04;4,3;1,114;17,7;
19.10.2023 17:04;4,1;1,11;17,7;
19.10.2023 17:05;4,1;1,108;17,7;
19.10.2023 17:05;4,2;1,107;17,7;
19.10.2023 17:06;4,2;1,103;17,7;
19.10.2023 17:06;3,8;1,103;17,7;
19.10.2023 17:07;3,9;1,099;17,7;
19.10.2023 17:07;4,2;1,098;17,7;
19.10.2023 17:08;4;1,097;17,7;
19.10.2023 17:08;4,2;1,094;17,7;
19.10.2023 17:09;4,3;1,094;17,7;
19.10.2023 17:09;4,2;1,091;17,7;
19.10.2023 17:10;4,2;1,091;17,7;
19.10.2023 17:10;4,3;1,088;17,7;
19.10.2023 17:11;4,4;1,087;17,7;
19.10.2023 17:11;3,9;1,085;17,7;
19.10.2023 17:12;3,7;1,083;17,7;
19.10.2023 17:12;3,9;1,081;17,7;
19.10.2023 17:13;4,2;1,079;17,7;
19.10.2023 17:13;4,3;1,077;17,7;
19.10.2023 17:14;4;1,075;17,7;
19.10.2023 17:14;4;1,073;17,7;
19.10.2023 17:15;4,1;1,07;17,7;
19.10.2023 17:15;3,9;1,069;17,7;
19.10.2023 17:16;4;1,066;17,7;
19.10.2023 17:16;4,3;1,064;17,7;
19.10.2023 17:17;4,3;1,063;17,7;
19.10.2023 17:17;3,9;1,06;17,7;
19.10.2023 17:18;3,6;1,06;17,7;
19.10.2023 17:18;3,6;1,057;17,7;
19.10.2023 17:19;4,2;1,055;17,7;
19.10.2023 17:19;4,3;1,054;17,7;
19.10.2023 17:20;4,1;1,051;17,7;
19.10.2023 17:20;4,5;1,049;17,7;
19.10.2023 17:21;4,8;1,047;17,7;
